시장명,최종주소,X,Y,store_num,Bus_st_num,Ur_rail_nu,Bus_te_num,spot_num_3,univ_num_1,ur_park_num,Cul_hall_n,Mart_num_1,parking_num,parking_car_num,stor_cnt,residnt_cnt_sum,mkt_cnt_sum,stor_cnt_sum,person_mkt_cnt,매출액
신평화패션타운,서울특별시중구청계천로298(신당동),127.0109365,37.5694133,1086,77,10,0,0,0,0,2,1,3,120,1100,125505,62,21039,6,26.10971737
월곡시장,광주광역시 광산구 월곡동 687-3,126.8096626,35.1712249,45,53,0,0,0,0,2,0,1,1,88,67,406126,15,1464,277,26.06992628
동평화시장,서울특별시 중구 청계천로 318,127.0137456,37.5692746,1280,96,9,0,0,0,0,2,1,3,162,1256,125505,62,21039,6,26.01696412
테크노상가,서울특별시 중구 마장로1가길 17,127.0132419,37.5688469,188,98,11,0,0,0,0,2,1,3,162,170,125505,62,21039,6,26.01696412
서울중앙시장,서울특별시 중구 퇴계로 85길 36,127.019759,37.5673604,158,91,11,0,0,0,1,2,1,3,184,323,125505,62,21039,6,25.95205689
신중앙시장,서울특별시중구퇴계로85길36(황학동),127.019759,37.5673604,155,91,11,0,0,0,1,2,1,3,184,113,125505,62,21039,6,25.95205689
황학시장,서울특별시 중구 퇴계로85길 36,127.019759,37.5673604,120,91,11,0,0,0,1,2,1,3,184,102,125505,62,21039,6,25.95205689
마장축산물시장,서울특별시 성동구 마장로35길 68,127.0412916,37.5706909,843,90,3,0,0,0,0,3,1,0,0,1200,294272,8,3240,91,25.93044503
은행나무시장,서울특별시 금천구 시흥동 828-45,126.9093499,37.4513563,60,100,0,0,0,0,0,1,1,2,56,58,232003,9,1370,169,25.83795914
청량리전통시장,서울특별시 동대문구 경동시장로8길 30,127.0423382,37.5808992,71,84,4,0,0,0,0,2,1,3,291,74,343377,38,5801,59,25.78290669
